Location,Name  ,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
105     ,W0CRA ,447.575  ,-     ,5     ,TSQL,107.2    ,107.2    ,23      ,NN          ,FM  ,5    ,"Idaho Springs, Squaw Mountain"
106     ,K0NR  ,447.725  ,-     ,5     ,TSQL,100      ,100      ,23      ,NN          ,FM  ,5    ,"Monument, Monument Hill"
107     ,WD0EKR,447.75   ,-     ,5     ,TSQL,103.5    ,103.5    ,23      ,NN          ,FM  ,5    ,"Canon City, Fremont Peak"
108     ,N0SZ  ,447.75   ,-     ,5     ,TSQL,141.3    ,141.3    ,23      ,NN          ,FM  ,5    ,"Boulder, Lee Hill"
109     ,WB0TPT,447.9    ,-     ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,5    ,Denver
110     ,ND0Q  ,447.95   ,-     ,5     ,TSQL,88.5     ,88.5     ,23      ,NN          ,FM  ,5    ,Pueblo
111     ,W0CRA ,447.975  ,-     ,5     ,TSQL,107.2    ,107.2    ,23      ,NN          ,FM  ,5    ,"Boulder, Eldorado Mountain"
112     ,KC0CVU,448      ,-     ,5     ,Tone,107.2    ,88.5     ,23      ,NN          ,FM  ,5    ,"Colorado Springs, Cheyenne Mountain"
113     ,W0UPS ,448.025  ,-     ,5     ,TSQL,100      ,100      ,23      ,NN          ,FM  ,5    ,"Loveland, Budweiser Event Center"
114     ,N5EHP ,448.075  ,-     ,5     ,Tone,123      ,88.5     ,23      ,NN          ,FM  ,5    ,Denver
115     ,KC0CVU,448.1    ,-     ,5     ,TSQL,107.2    ,107.2    ,23      ,NN          ,FM  ,5    ,"Colorado Springs, Cheyenne Mountain"
116     ,N0PYY ,448.125  ,-     ,5     ,Tone,107.2    ,88.5     ,23      ,NN          ,FM  ,5    ,Golden
117     ,KB7SWR,448.15   ,-     ,5     ,Tone,100      ,88.5     ,23      ,NN          ,FM  ,5    ,Cheyenne
118     ,KB0SRJ,448.45   ,-     ,5     ,Tone,100      ,88.5     ,23      ,NN          ,FM  ,5    ,"Colorado Springs, Pikes Peak"
119     ,KC0KWD,448.475  ,-     ,5     ,Tone,100      ,88.5     ,23      ,NN          ,FM  ,5    ,Greeley
120     ,KB0UDD,448.5    ,-     ,5     ,Tone,100      ,88.5     ,23      ,NN          ,FM  ,5    ,"Aurora, Smokey Hill"
121     ,N0EPA ,448.525  ,-     ,5     ,Tone,151.4    ,88.5     ,23      ,NN          ,FM  ,5    ,Longmont
122     ,W0KIZ ,448.55   ,-     ,5     ,Tone,82.5     ,88.5     ,23      ,NN          ,FM  ,5    ,Denver
123     ,WZ0N  ,448.575  ,-     ,5     ,TSQL,103.5    ,103.5    ,23      ,NN          ,FM  ,5    ,Hartsel
124     ,W0TX  ,448.625  ,-     ,5     ,TSQL,100      ,100      ,23      ,NN          ,FM  ,5    ,"Golden, Centennial Cone"
125     ,NX0G  ,448.65   ,-     ,5     ,Tone,107.2    ,88.5     ,23      ,NN          ,FM  ,5    ,Woodland Park
126     ,W0CFI ,448.675  ,-     ,5     ,TSQL,100      ,100      ,23      ,NN          ,FM  ,5    ,"Idaho Springs, Squaw Mountain"
127     ,WQ8M  ,448.7    ,-     ,5     ,Tone,146.2    ,88.5     ,23      ,NN          ,FM  ,5    ,Parker
128     ,KA0TTF,448.725  ,-     ,5     ,Tone,123      ,88.5     ,23      ,NN          ,FM  ,5    ,"Colorado Springs, Fillmore Hill"
129     ,W0ENO ,448.8    ,-     ,5     ,TSQL,88.5     ,88.5     ,23      ,NN          ,FM  ,5    ,Longmont
130     ,KB0SRJ,448.8    ,-     ,5     ,TSQL,100      ,100      ,23      ,NN          ,FM  ,5    ,"Colorado Springs, UCCS"
131     ,K0IBM ,448.85   ,-     ,5     ,TSQL,88.5     ,88.5     ,23      ,NN          ,FM  ,5    ,"Golden, Guy Hill"
132     ,W0DK  ,448.9    ,-     ,5     ,Tone,100      ,88.5     ,23      ,NN          ,FM  ,5    ,"Boulder, Table Mesa"
133     ,W0LMA ,448.925  ,-     ,5     ,Tone,131.8    ,88.5     ,23      ,NN          ,FM  ,5    ,Broomfield
134     ,W0GV  ,448.975  ,-     ,5     ,Tone,123      ,88.5     ,23      ,NN          ,FM  ,5    ,Golden
135     ,WB0WDF,449      ,-     ,5     ,TSQL,67       ,67       ,23      ,NN          ,FM  ,5    ,"Canon City, eightmile Mountain"
136     ,WG0N  ,449.05   ,-     ,5     ,TSQL,107.2    ,107.2    ,23      ,NN          ,FM  ,5    ,"Idaho Springs, Squaw Mountain"
137     ,N0SZ  ,449.225  ,-     ,5     ,TSQL,141.3    ,141.3    ,23      ,NN          ,FM  ,5    ,"Denver, Thorodin Mountain"
138     ,WB7GR ,449.3    ,-     ,5     ,Tone,131.8    ,88.5     ,23      ,NN          ,FM  ,5    ,"Cheyenne, Chalk Bluffs"
139     ,W0TX  ,449.35   ,-     ,5     ,TSQL,100      ,100      ,23      ,NN          ,FM  ,5    ,"Idaho Springs, Squaw Mountain"
140     ,K0DK  ,449.4    ,-     ,5     ,Tone,91.5     ,88.5     ,23      ,NN          ,FM  ,5    ,Boulder
141     ,K0PWO ,449.425  ,-     ,5     ,DTCS,88.5     ,88.5     ,23      ,NN          ,FM  ,5    ,Centennial
142     ,N0ZUQ ,449.425  ,-     ,5     ,Tone,94.8     ,88.5     ,23      ,NN          ,FM  ,5    ,"Fort Collins, Christ Mountain"
143     ,K1DUN ,449.45   ,-     ,5     ,TSQL,103.5    ,127.3    ,23      ,NN          ,FM  ,5    ,"Idaho Springs, Squaw Mountain"
144     ,KE0SJ ,449.525  ,-     ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,5    ,"Golden, Centennial Cone"
145     ,W0IA  ,449.55   ,-     ,5     ,Tone,100      ,88.5     ,23      ,NN          ,FM  ,5    ,Boulder
146     ,W0LRA ,449.575  ,-     ,5     ,Tone,100      ,88.5     ,23      ,NN          ,FM  ,5    ,"Loveland, Namaqua Hill"
147     ,WB0TUB,449.6    ,-     ,5     ,Tone,100      ,88.5     ,23      ,NN          ,FM  ,5    ,"Centennial, Warren Mountain"
148     ,W0KU  ,449.625  ,-     ,5     ,TSQL,141.3    ,141.3    ,23      ,NN          ,FM  ,5    ,"Golden, Lookout Mountain"
149     ,KC0CVU,449.65   ,-     ,5     ,Tone,107.2    ,88.5     ,23      ,NN          ,FM  ,5    ,"Salida, Methodist Mountain"
150     ,K0OJ  ,449.725  ,-     ,5     ,Tone,127.3    ,88.5     ,23      ,NN          ,FM  ,5    ,"Greeley, UNC"
151     ,KI0GO ,449.75   ,-     ,5     ,TSQL,103.5    ,103.5    ,23      ,NN          ,FM  ,5    ,"Golden, Guy Hill"
152     ,N0FH  ,449.8    ,-     ,5     ,Tone,123      ,88.5     ,23      ,NN          ,FM  ,5    ,Estes Park
153     ,W0WYX ,449.825  ,-     ,5     ,Tone,103.5    ,88.5     ,23      ,NN          ,FM  ,5    ,Broomfield
154     ,W0QEY ,449.85   ,-     ,5     ,TSQL,100      ,100      ,23      ,NN          ,FM  ,5    ,"Fort Collins, CSU Durward Hall"
155     ,N0AFO ,449.9    ,-     ,5     ,TSQL,107.2    ,107.2    ,23      ,NN          ,FM  ,5    ,Vail
156     ,WZ0N  ,449.925  ,-     ,5     ,TSQL,103.5    ,103.5    ,23      ,NN          ,FM  ,5    ,"Salida, Methodist Mountain"
157     ,KB0TUC,927.7    ,-     ,25    ,DTCS,88.5     ,88.5     ,114     ,NN          ,FM  ,5    ,"Canon City, Fremont Peak"
158     ,WA6IFI,927.725  ,-     ,25    ,DTCS,88.5     ,88.5     ,114     ,NN          ,FM  ,5    ,"Colorado Springs, Almagre Mountain"
159     ,W0MOG ,927.8    ,-     ,25    ,DTCS,88.5     ,88.5     ,116     ,NN          ,FM  ,5    ,Colorado Springs
160     ,AB0SF ,927.825  ,-     ,25    ,TSQL,100      ,100      ,23      ,NN          ,FM  ,5    ,"Fort Collins, Horsetooth Mountain"
161     ,N0ZUQ ,927.875  ,-     ,25    ,DTCS,88.5     ,88.5     ,114     ,NN          ,FM  ,5    ,"Fort Collins, Christ Mountain"
162     ,KA0WUC,927.9    ,-     ,25    ,DTCS,88.5     ,88.5     ,205     ,NN          ,FM  ,5    ,Woodland Park
163     ,K1TJ  ,927.95   ,-     ,25    ,TSQL,100      ,100      ,23      ,NN          ,FM  ,5    ,"Fort Collins, Horsetooth Mountain"
164     ,K1TJ  ,1283.55  ,-     ,20    ,Tone,100      ,88.5     ,23      ,NN          ,FM  ,5    ,Fort Collins
165     ,KC0DS ,1283.8625,-     ,20    ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,5    ,Boulder
166     ,W0CDS ,1283.9625,-     ,20    ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,5    ,"Golden, Lookout Mountain"
167     ,W0CRA ,1287.9   ,-     ,20    ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,5    ,"Conifer, Conifer Mountain"
168     ,W0DK  ,1299.5   ,-     ,20    ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,5    ,Boulder
