Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,On-air,Sponsor,Features,Coordination,Last update,Op Status,EchoLink,IRLP,Notes,Nets,Coverage,Downlink Tone,Links,DMR Enabled,Color Code,Wide Network,Affiliate,Web links,Commands,Talkgroups,Colorado,Northern Colorado,YSF Digital Enabled,DG-ID,Grid,Mixed-Mode,D-STAR Enabled,Node,Sources,Denver Regional,AllStar,Talkgroup Network,Worldwide English,North America,DCI Bridge,Local/Cluster,N. Colorado,TAC 310,Mountain Reg USA,WIRES-X,Worldwide,English,Feed,P25 Digital Enabled,NAC,Default Reflector,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Wyoming,WyLOCAL,Local Network,Southern Colorado,Bandwidth,Local or Reflector,CKRG,KansasLink,Kansas,Location Photo,BYRG
146.82,-0.6,156.7,NW0K,Colby,KS,OPEN,I,127,SSE,yes,146.82,146.22,156.7,Thomas,,TARC,"Closed autopatch, e-power.",Kansas Repeater Council,yes,On-Air,,7552,,,Local,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,123,W0FLO,"Chadron, Nebraska National Forest",NE,OPEN,,127.9,NNW,yes,147.36,147.96,123,Dawes,,,,WB0CMC,yes,On-Air,,,,,"Chadron, Gordon, Alliance, Crawford, Pine Ridge.",123,,,,,Pine Ridge Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.4,5,141.3,K0ECT,Colby,KS,OPEN,,129,SSE,yes,444.4,449.4,141.3,Thomas,,,,Kansas Repeater Council,yes,On-Air,,,"Repeater has zero hang-time, which gives the appearance that it's down.  It does work!",,,,Full-time to the  SKECT System .,,,,,http://skect.org/default.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.62,0,100,W0FLO,Chadron,NE,OPEN,I,132.4,NNW,yes,145.62,145.62,100,Dawes,,Pine Ridge Amateur Radio Club - Ron Cashon -- 308 432-3322,Voice ID,,yes,On-Air,,3936,,,"Chadron, Gordon, Alliance, Crawford, Pine Ridge.",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,123,N0VL,Lexington,NE,OPEN,,132.5,ESE,yes,146.85,146.25,123,Dawson,,,,WB0CMC,yes,On-Air,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.3,0,CSQ,,Chadron,NE,OPEN,,132.7,NNW,yes,446.3,446.3,CSQ,Dawes,,,,,yes,On-Air,,,Simplex link for the 147.360 in Chadron,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.775,-0.6,114.8,KC7SNO,"Cheyenne, Denver Hill",WY,OPEN,,133.4,W,yes,146.775,146.175,114.8,Laramie,,Shy-Wy Amateur Radio Club,"E-power, WX.",WRCG,yes,On-Air,,,,"Weather Net: Daily at 06:45. 
Shy-WY ARC: Sun at 07:00.",,,"Full-time to  
        147.16500 (KC7SNO) at Albin, WY .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.235,-0.6,114.8,KB7SWR,Cheyenne,WY,OPEN,,133.5,W,yes,145.235,144.635,114.8,Laramie,,N7GT,,WRCG,yes,On-Air,,,25,,Local: Cheyenne.,,"Full-time to  
        448.15000 (KB7SWR) at Cheyenne, WY .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.95,-5,CC15 151.4,KC7DHF,"Cheyenne, Old airport control tower",WY,OPEN,,133.5,W,yes,448.95,443.95,151.4,Laramie,,,,WRCG,yes,On-Air,,,Brandmiester and analog.,,Local,151.4,,yes,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,114.8,KC7SNO,"Cheyenne, North Park",WY,OPEN,,133.5,W,yes,147.105,147.705,114.8,Laramie,,ShyWyArc,,WRCG,yes,On-Air,,,,,,91.5,,,,,,,,,,,,,DN71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
