Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,Features,Last update,Links,Coordination,Web links,Downlink Tone,AllStar,Affiliate,Notes,EchoLink,IRLP,Grid,D-STAR Enabled,Node,Sources,Commands,Nets,YSF Digital Enabled,DG-ID,Mixed-Mode,P25 Digital Enabled,NAC,Default Reflector,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Southern Colorado,Feed,Location Photo,On-air,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Local/Cluster,Denver Regional,Northern Colorado,WIRES-X
147.28,0.6,100,NM5ML,"Raton, Sierra Grande",NM,OPEN,,88.2,ESE,yes,147.28,147.88,100,Colfax,On-Air,Wide area.,,8,yes,Full-time to the  Mega-Link System .,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,KB5ITS,"Ignacio, Spring Creek",CO,OPEN,,88.9,W,yes,147.15,147.75,100,La Plata,On-Air,Bayfield,,E-power.,yes,,CCARC,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,141.3,NM5EM,"Cuba, Eureka Mesa",NM,OPEN,,90.2,SW,yes,145.175,144.575,141.3,Sandoval,Off-Air,,NMEMA ARC,,yes,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,KB5ITS,"Navajo Dam, Navajo Lake",NM,OPEN,,90.6,WSW,yes,147.36,147.96,100,San Juan,On-Air,,,,yes,Full-time to the  San Juan Connection System .,NMFCC,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.825,5,131.8,KB5ZQE,"Santa Fe, Tesuque Peak",NM,OPEN,,91,S,yes,442.825,447.825,131.8,Santa Fe,On-Air,,Santa Fe ARC,Autopatch.,yes,"Full-time to  
        146.82000 (W5SF) at Santa Fe,  Tesuque Peak, NM .",NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.02,0.6,141.3,NM5EM,"Santa Fe, Tesuque Peak",NM,OPEN,,91,S,yes,147.02,147.62,141.3,Santa Fe,On-Air,,NMEMA ARC,,yes,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,162.2,W5SF,"Santa Fe,  Tesuque Peak",NM,OPEN,,91,S,yes,146.82,146.22,162.2,Santa Fe,On-Air,Wide area.,Santa Fe ARC,"Autopatch, e-power.",yes,"Full-time to  
        442.82500 (KB5ZQE) at Santa Fe, Tesuque Peak, NM .",NMFCC,SFARC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.41,-0.6,100,W5HO,La Cueva,NM,OPEN,,91.1,SSW,yes,145.41,144.81,100,Santa Fe,Off-Air,,W5HO,,yes,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Salida, Methodist Mountain",CO,OPEN,EIA,93.8,N,yes,449.975,444.975,100,Chaffee,On-Air,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass,,2,yes,Full-time to the  The Fun Machine System .,CCARC,K0JSC.COM,100,28368,,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,363976,7301,DM68xk,,,,,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,94.3,N,yes,449.65,444.65,107.2,Chaffee,On-Air,Wide area.,,E-power.,yes,,CCARC,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,103.5,WZ0N,"Salida, Methodist Mountain",CO,OPEN,,94.3,N,yes,449.925,444.925,103.5,Chaffee,On-Air,"Upper Arkansas and Platte Rivers, and the SLV",,E-power (Bat),yes,,CCARC,,103.5,,Colorado ARES,Identifies with an 'M' following WZ0N callsign which identifies the site as Methodist.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,,94.7,N,yes,147.285,147.885,88.5,Chaffee,On-Air,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.",Colorado Connection,11,yes,Full-time to the  Colorado Connection System .,CCARC,,123,,,,,,,,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,94.7,N,yes,145.295,144.695,107.2,Chaffee,On-Air,Wide area.,Cheyenne Mtn Repeater Group,,yes,,CCARC,CMRG Repeaters,,,,,,,DM78ik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.26,0.6,67,NM5ML,"Pecos, Elk Mountain",NM,OPEN,,94.9,SSE,yes,147.26,147.86,67,San Miguel,On-Air,Wide area.,,11,yes,Full-time to the  Mega-Link System .,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,162.2,W5SF,"Las Vegas,  Elk Mountain",NM,OPEN,,94.9,SSE,yes,147.3,147.9,162.2,San Miguel,On-Air,Wide area.,Santa Fe ARC,"E-power, linked.",yes,,NMFCC,SFARC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
