Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,D-STAR Enabled,Node,Sources,County,Op Status,Last update,Uplink Tone,Downlink Tone,EchoLink,IRLP,Coordination,On-air,Sponsor,Features,Coverage,AllStar,Affiliate,Links,Commands,Notes,Nets,Web links,DMR Enabled,Color Code,Wide Network,Grid,Location Photo,Talkgroups,Colorado,Southern Colorado,Talkgroup Network,Denver Regional,Northern Colorado,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Feed,P25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,Local/Cluster,Mountain Reg USA,Data,DMRX 1,Utah Statewide 2,TAC 311,USA,Utah,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On,YSF Digital Enabled,DG-ID,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local,Wyoming,WyLOCAL,WIRES-X,Worldwide English,N. Colorado
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,66.5,SE,,447.2,442.2,,,,Montrose,On-Air,,107.2,107.2,,3710,CCARC,,,9,Delta/Montrose,,Grand Mesa Repeater Assoc,Full-time to the  GMRA Open System .,,Closed IRLP out - Ask for a control op,RACES Net Wed at 1930 Hrs.,GMRA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,67.5,E,,146.88,146.28,,,,Garfield,On-Air,,107.2,,,,CCARC,,Ski Country ARC,,,,,"Full-time to  
        447.60000 (KI0G) at Glenwood Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,N0XLI,"Glenwood Springs, Sunlight Peak",CO,OPEN,,67.5,E,,449.6,444.6,,,,Garfield,On-Air,,107.2,,,,CCARC,,,e-power Linked to GMRA open system,Wide area.,,,,,,,http://www.gmra.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,,67.5,E,,146.85,146.25,,,,Garfield,On-Air,,88.5,123,,,CCARC,,Colorado Connection,70,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",,,,,Part of the Colorado Connection System of Repeaters,Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,67.5,E,,447.1,442.1,,,,Garfield,On-Air,,107.2,,,,CCARC,,Ski Country ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,K0SNO,"Carbondale, Four Mile Ridge",CO,OPEN,,70.1,E,,147.39,147.99,,,,Garfield,On-Air,,107.2,,,,,,Roaring Fork Amateur Repeater Cooperative,,"Rifle, Carbondale, El Jebel, Glenwood Springs, Basalt and Aspen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,179.9,K0ELK,"Carbondale, Four Mile Ridge",CO,OPEN,IA,70.1,E,,449.725,444.725,,,,Garfield,On-Air,,179.9,,,3722,CCARC,,Roaring Fork Amateur Repeater Cooperative (RFARC),EchoLink.,Wide area.,28434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.2625,-5,CC7,N0SZ,"Rangely, Cathedral Bluffs",CO,OPEN,,72,N,,445.2625,440.2625,,,,Rio Blanco,On-Air,,,,,,,,RMHAM,,,,,,,,,https://www.rmham.org,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,,KI0G,Glenwood Springs,CO,CLOSED,,73.6,E,,447.6,442.6,,,,Garfield,,,,,,,CCARC,Unknown,Ski Country ARC (SCARC),50,40,,,"Full-time to  
        146.88000 (KI0G) at Glenwood Springs, Sunlight Peak, CO .",,Link Hub for 146.880.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,131.8,WA4HND,"Glenwood Springs, Lookout Mountain",CO,OPEN,,73.6,E,,449.85,444.85,,,,Garfield,On-Air,,131.8,131.8,,,CCARC,,,e-power  Linked to GMRA Open System,Glenwood Springs,,Grand Mesa Repeater Assoc,Full-time to the  GMRA Open System .,,RACES net Wed 1930 Hrs Local,Colorado State RACES  Wed 1930 local,http://GMRA.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,KI0G,Glenwood Springs,CO,CLOSED,,73.6,E,,224.02,222.42,,,,Garfield,,,,,,,CCARC,Unknown,SCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,107.2,K0VQ,"Glenwood Springs, Three Mile Ridge",CO,OPEN,E,73.7,E,,147.3,147.9,,,,Garfield,Off-Air,,107.2,,266359,,CCARC,,Roaring Fork Amateur Repeater Cooperative,8,"Wide area: Glenwood Springs, Glenwood Canyon, South Canyon, Carbondale and surrounding areas.",,,,,Single beep courtesy tone when linked and none when unlinked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,KB0YNA,"Telluride, Gray Head",CO,OPEN,I,80.5,SSE,,449.7,444.7,,,,San Miguel,On-Air,,107.2,107.2,,3710,CCARC,,Grand Mesa Repeater Association ( GMRA ),E-power.,Wide Area via links - Western Colorado - Eastern Utah,,,Full-time to the  GMRA Open System .,,Closed IRLP out - Ask for a control Op,RACES: Wed at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,136.5,K0VQ,"Carbondale, Missouri Heights",CO,OPEN,E,81.7,E,,447.15,442.15,,,,Garfield,On-Air,,136.5,,8150,,,,,,,,,,,"Please contact Tracy, K0VQ, by email or on-the-air prior to attempting to use this node to obtain codes for specific questions and to make sure that proper protocol is followed. Please DO NOT just key up and start issuing DTMF codes, connecting to reflectors, etc., without guidance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,136.5,W7BAR,"Vernal, Uintah County EOC",UT,OPEN,I,84.5,NNW,,449.9,444.9,,,,Uintah,,,136.5,,,7705,,Unknown,Borderline Amateur Radio Club,,"Vernal, Roosevelt, Duchesne and other Uintah basin communities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITS,"Ouray, Engineer Mountain",CO,OPEN,,86.2,SSE,,147.27,147.87,,,,Ouray,On-Air,,127.3,,,,CCARC,,,,,,,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,107.2,K0CL,Snowmass Village,CO,OPEN,,87.1,ESE,,146.67,146.07,,,,Pitkin,On-Air,,107.2,,,,CCARC,,Ski Country ARC,Linked.,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.05,-5,136.5,K0VQ,"Aspen, Aspen Mountain",CO,OPEN,,92.6,ESE,,447.05,442.05,,,,Pitkin,On-Air,,136.5,136.5,,,CCARC,,Roaring Fork Amateur Repeater Cooperative,,Aspen-Snowmass areas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,,W0VTL,Gunnison,CO,OPEN,,94.6,SE,,147.12,147.72,,,,Gunnison,On-Air,,,,,,CCARC,,W0VTL,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,,K5GF,Gunnison,CO,OPEN,,94.6,SE,,449.95,444.95,,,,Gunnison,,,,,,,CCARC,Unknown,K5GF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.92,-0.6,136.5,W7BYU,Roosevelt,UT,OPEN,E,94.7,NNW,,146.92,146.32,,,,Duchesne,Off-Air,,136.5,,458695,,UVHFS,,,E-power.,"Vernal, Roosevelt, Duchesne and other Uintah basin communities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,136.5,W7BYU,Vernal,UT,OPEN,,94.7,NNW,,449.7,444.7,,,,Uintah,,,136.5,,,,UVHFS,Unknown,W7BYU,8,"Vernal, Roosevelt, Duchesne and other Uintah basin communities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.1,0.6,136.5,W7BAR,"Vernal, Blue Mountain",UT,OPEN,EI,94.8,NNW,,147.1,147.7,,,,Uintah,On-Air,,136.5,,458414,3577,UVHFS,,""">Borderline ARC","Autopatch, e-power.","Wide area: Vernal, Roosevelt, Duchesne and other Uintah basin communities.",,,"Full-time to  
        147.34000 (KG7DSO) at Vernal, Tabby Mountain, UT .","IRLP: No access code, bring up your node by it's node no. and bring it down with a 73.",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,-0.6,123,KB5ITS,"Lake City, Hill 71",CO,OPEN,,97.8,SE,,147.135,146.535,,,,Hinsdale,On-Air,,123,,,,CCARC,,,E-power (solar),,,,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,88.5,K7SDC,"Monticello, Abajo Peak",UT,OPEN,EI,97.9,SSW,,146.61,146.01,,,,San Juan,On-Air,,88.5,,64264,3270,UVHFS,,Sinbad Desert ARC,Remote base.,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",,,,,11.36,,http://www.sdarc.us/repeaters/abajo.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
