Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,D-STAR Enabled,Node,Sources,County,Op Status,Sponsor,Features,Coordination,Last update,Uplink Tone,DMR Enabled,Color Code,Wide Network,Coverage,Affiliate,Links,Notes,Web links,EchoLink,IRLP,Downlink Tone,Grid,Commands,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Nets,On-air,P25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,AllStar,YSF Digital Enabled,DG-ID,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Feed,WIRES-X,Worldwide,North America,English,TAC 310,Local/Cluster,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA,Wyoming,WyLOCAL,Location Photo
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,19.8,S,yes,446.9625,441.9625,yes,W0CDS (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",Jefferson,On-Air,Colorado D-Star,,CCARC,yes,,,,,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,19.8,S,yes,1283.9625,1263.9625,yes,W0CDS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",Jefferson,On-Air,Colorado D-Star,,CCARC,yes,,,,,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,19.8,S,yes,145.25,144.65,yes,W0CDS (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",Jefferson,On-Air,Colorado D-Star,,CCARC,yes,,,,,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.35,-5,225.7,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,19.9,SSE,yes,448.35,443.35,,,,Jefferson,On-Air,Denver Water Amateur Radio Club (DWARC),,CCARC,yes,,,,,Denver Metro and surrounding,,,,http://www.DWARC.com,,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,I,19.9,SSE,yes,147.21,147.81,,,,Jefferson,On-Air,Denver Water Amateur Radio Club,,,yes,100,,,,,,,,http://www.dwarc.com,,3241,100,,,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,21.9,SSE,yes,447.825,442.825,,,,Jefferson,On-Air,Denver Radio Club,,CCARC,yes,D073,,,,,,,"Now operating in Narrow Band mode with Digital Code Squelch.
 Please reset your programing to use:
 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",,,,D073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,22.3,SSW,yes,447.85,442.85,,,,Clear Creek,On-Air,AC0KQ,AllStar node repeater providing wide area coverage along the Front Range,CCARC,yes,141.3,,,,Wide area at 9500',Rocky Mountain Ham Radio,,,,,,141.3,,,,,,,,,,,,,,,29571,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,22.3,SSE,yes,53.09,51.39,,,,Jefferson,On-Air,Denver Radio Club,E-power.,CCARC,yes,107.2,,,,Metro Denver area.,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,22.8,SSE,yes,448.75,443.75,,,,Jefferson,On-Air,,E-power.,CCARC,yes,100,,,,Local.,N0ELY,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.05,-5,107.2,WG0N,"Idaho Springs, Squaw Mountain",CO,OPEN,,22.8,SW,yes,449.05,444.05,,,,Denver,On-Air,WG0N,E-power.,CCARC,yes,107.2,,,,Wide area.,,,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,23.4,SE,yes,447.175,442.175,,,,Denver,On-Air,W0JRL,,CCARC,yes,100,,,,,,,,,201712,,100,,Standard AllStar Link access commands.,,,,,,,,,,,,,29997,,,,,,,,,,,,,,,,,,,,,,
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,23.8,S,yes,53.17,51.47,,,,Jefferson,On-Air,N6LXX,,CCARC,yes,107.2,,,,"I-70,I-76,I-25,I-225",N6LXX,Full-time to the  N6LXX System .,,,,,CSQ,,,,,,,,,,,,,,,29883,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,23.8,S,yes,447.875,442.875,,,,Jefferson,On-Air,N6LXX,,CCARC,yes,107.2,,,,"I-70,I-76,I-25,I-225",N6LXX,Full-time to the  N6LXX System .,,,,,107.2,,,,,,,,,,,,,,,29913,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,24,SSE,yes,147.33,147.93,,,,Jefferson,On-Air,Denver Radio Club,E-power.,CCARC,yes,100,,,,Metro Denver and the foothills.,,,Not recommeded to use tone squelch on this repeater.,DRC Repeaters,,,,,,,,,,,,SATERN: Thu at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,24,SSE,yes,224.38,222.78,,,,Jefferson,On-Air,Denver Radio Club,,CCARC,yes,100,,,,,,,,DRC Repeaters,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
