Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
83,KC0CVU,145.375000,-,0.600000,,88.5,88.5,023,NN,DV,5.00,,"Colorado Springs, Cheyenne Mountain",CQCQCQ,,,0
84,AA0L,147.135000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,Colorado Springs,,,,
85,N0ESQ,447.525000,-,5.000000,Tone,203.5,146.2,023,NN,FM,5.00,,"Parker, Hess Reservoir",,,,
86,N0ESQ,447.525000,-,5.000000,Tone,146.2,146.2,023,NN,FM,5.00,,"Castle Rock, Devils Head (Pike National Forest)",,,,
87,WA6IFI,447.550000,-,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,Colorado Springs,,,,
88,N0SZ,448.225000,-,5.000000,Tone,141.3,141.3,023,NN,FM,5.00,,"Idaho Springs, Squaw Mountain",,,,
89,N0KG,448.250000,-,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,"Colorado Springs, Broadmoor Area",,,,
90,AA0L,448.300000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,Colorado Springs,,,,
91,,449.700000,-,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,Lake George,,,,
92,W0TX,449.775000,-,5.000000,Tone,100.0,100.0,023,NN,Auto,5.00,,"Lakewood, Green Mtn",,,,
93,WR0AEN,449.000000,-,5.000000,Tone,136.5,136.5,023,NN,FM,5.00,,"Idaho Springs, Squaw Mountain",,,,
94,N0XLF,145.190000,-,0.600000,Tone,131.8,131.8,023,NN,FM,5.00,,"Palmer Lake, Monument Hill",,,,
95,N0OBA,145.190000,-,0.600000,Tone,151.4,131.8,023,NN,FM,5.00,,Aurora,,,,
96,W9SL,449.950000,-,5.000000,Tone,77.0,77.0,023,NN,FM,5.00,,"Castle Pines, Daniels Park",,,,
97,K0JSC,447.250000,-,5.000000,Tone,100.0,100.0,023,NN,FM,5.00,,"Canon City, Fremont Peak",,,,
98,KA4EPS,449.325000,-,5.000000,Tone,103.5,103.5,023,NN,FM,5.00,,"Woodland Park, Paradise Pines",,,,
99,K0UPS,449.250000,-,5.000000,Tone,123.0,123.0,023,NN,FM,5.00,,Cedar Point,,,,
100,KI0HC,927.837500,-,25.000000,Tone,100.0,100.0,023,NN,P25,5.00,,Parker,,,,
101,N6LXX,447.875000,-,5.000000,Tone,107.2,107.2,023,NN,FM,5.00,,"Morrison, Mt. Morrison",,,,
102,N6LXX,53.170000,-,1.000000,Tone,107.2,88.5,023,NN,FM,5.00,,"Morrison, Mt. Morrison",,,,
103,K0PWO,449.425000,-,5.000000,DTCS,88.5,88.5,023,NN,FM,5.00,,Centennial,,,,
104,K0PRA,446.850000,-,5.000000,,88.5,88.5,023,NN,DV,5.00,,Franktown,CQCQCQ,,,0
105,WA0DE,147.105000,+,0.600000,Tone,107.2,107.2,023,NN,FM,5.00,,Simla,,,,
106,N0SZ,445.062500,-,5.000000,,88.5,88.5,023,NN,DIG,5.00,,"Colorado Springs, Cheyenne Mountain",,,,
