Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,Features,Web links,Coordination,Last update,Downlink Tone,Nets,Notes,Links,IRLP,EchoLink,On-air,Affiliate,AllStar,D-STAR Enabled,Node,Sources,Commands,DMR Enabled,Color Code,Wide Network,Location Photo,Grid,Talkgroups,Colorado,Southern Colorado,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Data,DMRX 1,Utah Statewide 2,Local/Cluster,TAC 311,USA,Utah,Mountain Reg USA,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On,YSF Digital Enabled,DG-ID,Mixed-Mode,Denver Regional,Northern Colorado,Local,Feed,P25 Digital Enabled,NAC,Default Reflector
448.65,-5,,KB0YNA,"Montrose, Waterdog Peak",CO,OPEN,,96.8,ESE,,448.65,443.65,,Montrose,On-Air,Wide area.,KB0YNA,,,,,151.4,,,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,107.2,WA4HND,"Parachute, Mount Callahan",CO,OPEN,,100.5,NE,,449.8,444.8,107.2,Garfield,On-Air,,,8,GMRA Repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC6,N5UBJ,"Mancos, Caviness Mountain",CO,OPEN,,101.8,SE,,446.7375,441.7375,,Montezuma,On-Air,,RMHAM,,http://www.rmham.org,CCARC,,,,,,,,,,,,,,,,6,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  1  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITS,"Ouray, Engineer Mountain",CO,OPEN,,102.3,SE,,147.27,147.87,127.3,Ouray,On-Air,,,,http://www.sjcham.com,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.92,-1.6,88.5,WX7Y,"Huntington,  Skyline Dr",UT,OPEN,,103.2,WNW,,223.92,222.32,88.5,Emery,,"Wide area: Extreme southern end of Utah county (to the north) and the valley communities from Fairview and Nephi down to Salina, with coverage toward Delta.",,"Remote base, 8,702'.",,UVHFS,,,,,,,,Unknown,Sinbad Desert ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,123,WX7Y,"Castle Dale, Horn Mountain",UT,OPEN,,103.2,WNW,,447.7,442.7,123,Emery,,Wide area.,,"Closed autopatch, 8,702'.",,UVHFS,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,88.5,K7SDC,"Castle Dale, Horn Mountain",UT,OPEN,EI,103.2,WNW,,147.06,147.66,88.5,Emery,On-Air,"Wide area: Most of western Emery County including the towns of Castle Dale, Orangeville, Huntington, Cleveland, Ferron, and further east into the San Rafael desert. It also covers the towns of Sunnyside and East Carbon, UT.",Sinbad Desert ARC,"Closed autopatch, remote base.",http://sdarc.us/repeaters/horn.html,UVHFS,,,,8,Full-time to the  Sinbad Desert (SDARC) System .,3270,64264,,,,,,,,,,,,DM49kf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,K7YI,"Castle Dale, Horn Mountain",UT,OPEN,,103.2,WNW,,447.625,442.625,100,Emery,On-Air,Wide area.,San Rafael Cactus Assoc,,,UVHFS,,,,,,,,,Cactus-Intertie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,107.2,KI0MR,Paonia,CO,OPEN,,103.9,E,,147.33,147.93,107.2,Delta,On-Air,Wide area.,North Fork Repeater Assoc.,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KB5ITS,"Mancos, Menefee Mountain",CO,OPEN,,104.2,SE,,145.325,144.725,100,Montezuma,On-Air,Wide area.,,E-power.,http://www.sjcham.com,CCARC,,,,Full time to the San Juan Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
