Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Features,IRLP,Notes,Nets,Web links,Coordination,Last update,DMR Enabled,Color Code,Wide Network,Sponsor,Commands,AllStar,On-air,Affiliate,EchoLink,D-STAR Enabled,Node,Sources,Links,Grid,Location Photo
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,61.8,SE,string,447.2,442.2,107.2,107.2,Montrose,On-Air,Delta/Montrose,9,3710,Closed IRLP out - Ask for a control op,RACES Net Wed at 1930 Hrs.,GMRA Repeaters,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Grand Mesa Repeater Assoc,undefined,undefined,undefined,undefined,Full-time to the  GMRA Open System .,undefined,undefined
447.6,-5,string,KI0G,Glenwood Springs,CO,CLOSED,string,62.7,E,string,447.6,442.6,string,undefined,Garfield,undefined,40,50,undefined,Link Hub for 146.880.,undefined,undefined,CCARC,string,undefined,undefined,undefined,Ski Country ARC (SCARC),undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,"Full-time to  
        146.88000 (KI0G) at Glenwood Springs, Sunlight Peak, CO .",undefined,undefined
449.85,-5,131.8,WA4HND,"Glenwood Springs, Lookout Mountain",CO,OPEN,string,62.7,E,string,449.85,444.85,131.8,131.8,Garfield,On-Air,Glenwood Springs,e-power  Linked to GMRA Open System,undefined,RACES net Wed 1930 Hrs Local,Colorado State RACES  Wed 1930 local,http://GMRA.org,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Grand Mesa Repeater Assoc,undefined,undefined,undefined,undefined,Full-time to the  GMRA Open System .,undefined,undefined
224.02,-1.6,string,KI0G,Glenwood Springs,CO,CLOSED,string,62.7,E,string,224.02,222.42,string,undefined,Garfield,undefined,undefined,undefined,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,SCARC,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.3,0.6,107.2,K0VQ,"Glenwood Springs, Three Mile Ridge",CO,OPEN,E,62.8,E,string,147.3,147.9,107.2,undefined,Garfield,Off-Air,"Wide area: Glenwood Springs, Glenwood Canyon, South Canyon, Carbondale and surrounding areas.",8,undefined,Single beep courtesy tone when linked and none when unlinked.,undefined,undefined,CCARC,string,undefined,undefined,undefined,Roaring Fork Amateur Repeater Cooperative,undefined,undefined,undefined,undefined,266359,undefined,undefined,undefined,undefined,undefined,undefined
146.76,-0.6,88.5,K7QEQ,"Moab, Bald Mesa",UT,OPEN,string,65.9,SW,string,146.76,146.16,88.5,undefined,Grand,On-Air,Moab and immediate surroundings.,undefined,undefined,8,undefined,http://www.sdarc.us/repeaters/bald.html,UVHFS,string,undefined,undefined,undefined,Sinbad Desert ARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.1,-5,107.2,K7QEQ,"Moab, Bald Mesa",UT,OPEN,string,66.1,SW,string,449.1,444.1,107.2,107.2,Grand,On-Air,"Wide area: Moab and surrounding areas, including large portions of Arches and Canyonlands National Parks.",8,undefined,undefined,RACES Wed. 1930 hours,GMRA Repeaters,UVHFS,string,undefined,undefined,undefined,Grand Mesa Repeater Association (GMRA),undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.15,-5,136.5,K0VQ,"Carbondale, Missouri Heights",CO,OPEN,E,70.5,E,string,447.15,442.15,136.5,undefined,Garfield,On-Air,undefined,undefined,undefined,"Please contact Tracy, K0VQ, by email or on-the-air prior to attempting to use this node to obtain codes for specific questions and to make sure that proper protocol is followed. Please DO NOT just key up and start issuing DTMF codes, connecting to reflectors, etc., without guidance.",undefined,undefined,undefined,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,8150,undefined,undefined,undefined,undefined,undefined,undefined
146.9,-0.6,88.5,K7QEQ,Moab,UT,OPEN,string,74.4,WSW,string,146.9,146.3,88.5,undefined,Grand,On-Air,Moab and immediate surroundings.,"Closed autopatch, remote base, linked to Bald Mesa (146.760).",undefined,undefined,undefined,http://sdarc.us/repeaters/moab.html,UVHFS,string,undefined,undefined,undefined,Sinbad Desert ARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.67,-0.6,107.2,K0CL,Snowmass Village,CO,OPEN,string,76.1,ESE,string,146.67,146.07,107.2,undefined,Pitkin,On-Air,Wide area.,Linked.,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,Ski Country ARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
