Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Web links,Coordination,Last update,Features,Coverage,Sponsor,Links,Downlink Tone,IRLP,Notes,Nets,Affiliate,Grid,AllStar,DMR Enabled,Color Code,Wide Network,On-air,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,EchoLink,Commands,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,D-STAR Enabled,Node,Sources,Denver Regional,Northern Colorado
449.825,-5,100,W0ALC,Cedaredge,CO,OPEN,string,62.3,NNW,string,449.825,444.825,100,Delta,undefined,undefined,CCARC,string,undefined,undefined,W0ALC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.195,0.6,107.2,KC0QXX,"Cedaredge, Cedar Mesa",CO,OPEN,string,62.3,NNW,string,147.195,147.795,107.2,Delta,undefined,undefined,undefined,string,undefined,Local.,undefined,undefined,undefined,undefined,undefined,undefined,Colorado District 25 ARES,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.36,0.6,100,W0ALC,Cedaredge,CO,OPEN,string,62.3,NNW,string,147.36,147.96,100,Delta,undefined,undefined,CCARC,string,undefined,undefined,W0ALC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.15,0.6,100,KB5ITS,"Ignacio, Spring Creek",CO,OPEN,string,62.8,S,string,147.15,147.75,100,La Plata,On-Air,http://www.sjcham.com,CCARC,string,E-power.,Bayfield,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.4,-5,131.8,KB0YNA,"Delta, Uncompahgre Butte",CO,OPEN,I,65.3,NW,string,449.4,444.4,131.8,Mesa,On-Air,http://www.gmra.org,CCARC,string,E-power.,Wide area via links - Western Colorado - Eastern Utah,"WA4HND,  Grand Mesa Repeater Association",Full-time to the  GMRA Open System .,131.8,3710,Closed IRLP out - Ask for a control op,RACES Wed 1930 Hrs,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.61,-0.6,123,N0JSP,"Pagosa Springs, Oakbrush Hill",CO,OPEN,string,65.3,SSE,string,146.61,146.01,123,Archuleta,On-Air,http://durangoarc.org/,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.79,-0.6,127.3,KD5LWU,"Cortez, Downtown",CO,OPEN,EA,68.3,SW,string,146.79,146.19,127.3,Montezuma,On-Air,undefined,CCARC,string,undefined,undefined,KD5LWU,undefined,127.3,undefined,undefined,4,undefined,undefined,29317,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,24336,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.175,-5,127.3,KD5LWU,Cortez,CO,OPEN,E,68.3,SW,string,449.175,444.175,127.3,Montezuma,Off-Air,undefined,CCARC,string,undefined,undefined,KD5LWU,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,24336,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.35,-5,107.2,string,"Cedaredge, Grand Mesa",CO,OPEN,string,69.1,NNW,string,447.35,442.35,107.2,Delta,undefined,GMRA Repeaters,CCARC,string,undefined,undefined,Grand Mesa Repeater Assoc (GMRA),undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,string,73.5,N,string,145.355,144.755,88.5,Mesa,On-Air,undefined,CCARC,string,E-power.,"Rifle to the east, several miles east of Green River, Utah to the west.",Colorado Connection,Full-time to the  Colorado Connection System .,123,undefined,Colorado Connection system of repeaters,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.65,-5,151.4,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain",CO,OPEN,string,73.5,NE,string,447.65,442.65,151.4,Gunnison,On-Air,undefined,CCARC,string,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado.",Gunnison valley and along East and west on Highway 50.,KB0YNA,"Full-time to  
        448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO .
 


Full-time to  
        449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO .",151.4,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
