Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Affiliate,Links,Last update,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Southern Colorado,Location Photo,Grid,Coverage,Features,Notes,Web links,Coordination,EchoLink,IRLP,AllStar,Nets,Feed,Sponsor,D-STAR Enabled,Node,Sources,Worldwide,North America,Local/Cluster,Denver Regional,Talkgroup Network,Northern Colorado,Mixed-Mode,Local Network,On-air,Commands,YSF Digital Enabled,DG-ID,WIRES-X,P25 Digital Enabled,NAC,Default Reflector,Worldwide English,DCI Bridge,N. Colorado,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,English,Europe,TAC 310,Southwest USA,Mountain Reg USA,Texas,COMM 1,Texas/Oklahoma Regional USA
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,0,ESE,yes,147.06,147.66,77,77,Custer,On-Air,,,yes,,,,,,,,,,E-power,,,CCARC,,,,,,http://www.qsl.net/rghc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,0,ESE,yes,448.15,443.15,103.5,103.5,Custer,On-Air,,,yes,,,,,,,,,,E-power.,,http://www.qsl.net/rghc,CCARC,,,,,,Royal George ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,0,ESE,yes,927.775,902.775,D116,D116,Custer,On-Air,,,yes,,,,,,,,,,,System uses digital PL,,CCARC,,,,,,Royal Gorge Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,24.1,NNE,yes,927.7,902.7,D114,D114,Fremont,On-Air,,,yes,,,,,,,,,,,,,CCARC,,,,,,Royal Gorge ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,107.2,KC0CVU,"Pueblo, Deer Peak",CO,OPEN,,16.6,SE,yes,449.625,444.625,107.2,,Custer,On-Air,,,yes,,,,,,,,,,E-power.,,CMRG Repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,37.1,NW,yes,145.295,144.695,107.2,,Chaffee,On-Air,,,yes,,,,,,,,DM78ik,Wide area.,,,CMRG Repeaters,CCARC,,,,,,Cheyenne Mtn Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,37.1,NW,yes,449.65,444.65,107.2,,Chaffee,On-Air,,,yes,,,,,,,,,Wide area.,E-power.,,CMRG Repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,52.3,NE,yes,146.76,146.16,107.2,107.2,El Paso,On-Air,,,yes,,,,,,,,,,"Closed autopatch, e-power.",,,CCARC,,,,,,Cheyenne Mountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,I,52.3,NE,yes,147.345,147.945,107.2,107.2,El Paso,On-Air,,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  Cheyenne Mtn Repeater Group System .",yes,,,,,,,,,Wide area.,"Closed autopatch, e-power.",,http://www.cmrg.org/,CCARC,,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,52.3,NE,yes,448,443,107.2,,El Paso,On-Air,,,yes,,,,,,,,,,,,CMRG Repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.1,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,52.3,NE,yes,448.1,443.1,107.2,107.2,El Paso,On-Air,,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",yes,,,,,,,,,Wide area.,"Closed autopatch, e-power.",,CMRG Repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
